zip,city,state_id,state_name,county_fips,county_name
601,Adjuntas,PR,Puerto Rico,72001,Adjuntas
602,Aguada,PR,Puerto Rico,72003,Aguada
603,Aguadilla,PR,Puerto Rico,72005,Aguadilla
606,Maricao,PR,Puerto Rico,72093,Maricao
610,Anasco,PR,Puerto Rico,72011,Añasco
612,Arecibo,PR,Puerto Rico,72013,Arecibo
616,Bajadero,PR,Puerto Rico,72013,Arecibo
617,Barceloneta,PR,Puerto Rico,72017,Barceloneta
622,Boqueron,PR,Puerto Rico,72023,Cabo Rojo
623,Cabo Rojo,PR,Puerto Rico,72023,Cabo Rojo
624,Penuelas,PR,Puerto Rico,72111,Peñuelas
627,Camuy,PR,Puerto Rico,72027,Camuy
631,Castaner,PR,Puerto Rico,72081,Lares
637,Sabana Grande,PR,Puerto Rico,72121,Sabana Grande
638,Ciales,PR,Puerto Rico,72039,Ciales
641,Utuado,PR,Puerto Rico,72141,Utuado
646,Dorado,PR,Puerto Rico,72051,Dorado
647,Ensenada,PR,Puerto Rico,72055,Guánica
650,Florida,PR,Puerto Rico,72054,Florida
652,Garrochales,PR,Puerto Rico,72013,Arecibo
653,Guanica,PR,Puerto Rico,72055,Guánica
656,Guayanilla,PR,Puerto Rico,72059,Guayanilla
659,Hatillo,PR,Puerto Rico,72065,Hatillo
660,Hormigueros,PR,Puerto Rico,72067,Hormigueros
662,Isabela,PR,Puerto Rico,72071,Isabela
664,Jayuya,PR,Puerto Rico,72073,Jayuya
667,Lajas,PR,Puerto Rico,72079,Lajas
669,Lares,PR,Puerto Rico,72081,Lares
670,Las Marias,PR,Puerto Rico,72083,Las Marías
674,Manati,PR,Puerto Rico,72091,Manatí
676,Moca,PR,Puerto Rico,72099,Moca
677,Rincon,PR,Puerto Rico,72117,Rincón
678,Quebradillas,PR,Puerto Rico,72115,Quebradillas
680,Mayaguez,PR,Puerto Rico,72097,Mayagüez
682,Mayaguez,PR,Puerto Rico,72097,Mayagüez
683,San German,PR,Puerto Rico,72125,San Germán
685,San Sebastian,PR,Puerto Rico,72131,San Sebastián
687,Morovis,PR,Puerto Rico,72101,Morovis
688,Sabana Hoyos,PR,Puerto Rico,72013,Arecibo
690,San Antonio,PR,Puerto Rico,72005,Aguadilla
692,Vega Alta,PR,Puerto Rico,72143,Vega Alta
693,Vega Baja,PR,Puerto Rico,72145,Vega Baja
694,Vega Baja,PR,Puerto Rico,72145,Vega Baja
698,Yauco,PR,Puerto Rico,72153,Yauco
703,Aguas Buenas,PR,Puerto Rico,72007,Aguas Buenas
704,Aguirre,PR,Puerto Rico,72123,Salinas
705,Aibonito,PR,Puerto Rico,72009,Aibonito
707,Maunabo,PR,Puerto Rico,72095,Maunabo
714,Arroyo,PR,Puerto Rico,72015,Arroyo
715,Mercedita,PR,Puerto Rico,72113,Ponce
716,Ponce,PR,Puerto Rico,72113,Ponce
717,Ponce,PR,Puerto Rico,72113,Ponce
718,Naguabo,PR,Puerto Rico,72103,Naguabo
719,Naranjito,PR,Puerto Rico,72105,Naranjito
720,Orocovis,PR,Puerto Rico,72107,Orocovis
723,Patillas,PR,Puerto Rico,72109,Patillas
725,Caguas,PR,Puerto Rico,72025,Caguas
727,Caguas,PR,Puerto Rico,72025,Caguas
728,Ponce,PR,Puerto Rico,72113,Ponce
729,Canovanas,PR,Puerto Rico,72029,Canóvanas
730,Ponce,PR,Puerto Rico,72113,Ponce
731,Ponce,PR,Puerto Rico,72113,Ponce
735,Ceiba,PR,Puerto Rico,72037,Ceiba
736,Cayey,PR,Puerto Rico,72035,Cayey
738,Fajardo,PR,Puerto Rico,72053,Fajardo
739,Cidra,PR,Puerto Rico,72041,Cidra
740,Puerto Real,PR,Puerto Rico,72053,Fajardo
741,Punta Santiago,PR,Puerto Rico,72069,Humacao
745,Rio Grande,PR,Puerto Rico,72119,Río Grande
751,Salinas,PR,Puerto Rico,72123,Salinas
754,San Lorenzo,PR,Puerto Rico,72129,San Lorenzo
757,Santa Isabel,PR,Puerto Rico,72133,Santa Isabel
765,Vieques,PR,Puerto Rico,72147,Vieques
766,Villalba,PR,Puerto Rico,72149,Villalba
767,Yabucoa,PR,Puerto Rico,72151,Yabucoa
769,Coamo,PR,Puerto Rico,72043,Coamo
771,Las Piedras,PR,Puerto Rico,72085,Las Piedras
772,Loiza,PR,Puerto Rico,72087,Loíza
773,Luquillo,PR,Puerto Rico,72089,Luquillo
775,Culebra,PR,Puerto Rico,72049,Culebra
777,Juncos,PR,Puerto Rico,72077,Juncos
778,Gurabo,PR,Puerto Rico,72063,Gurabo
780,Coto Laurel,PR,Puerto Rico,72113,Ponce
782,Comerio,PR,Puerto Rico,72045,Comerío
783,Corozal,PR,Puerto Rico,72047,Corozal
784,Guayama,PR,Puerto Rico,72057,Guayama
786,La Plata,PR,Puerto Rico,72009,Aibonito
791,Humacao,PR,Puerto Rico,72069,Humacao
794,Barranquitas,PR,Puerto Rico,72019,Barranquitas
795,Juana Diaz,PR,Puerto Rico,72075,Juana Díaz
801,St Thomas,VI,Virgin Islands,78030,St. Thomas
802,St Thomas,VI,Virgin Islands,78030,St. Thomas
820,Christiansted,VI,Virgin Islands,78010,St. Croix
823,Christiansted,VI,Virgin Islands,78010,St. Croix
824,Christiansted,VI,Virgin Islands,78010,St. Croix
830,St John,VI,Virgin Islands,78020,St. John
831,St John,VI,Virgin Islands,78020,St. John
840,Frederiksted,VI,Virgin Islands,78010,St. Croix
841,Frederiksted,VI,Virgin Islands,78010,St. Croix
850,Kingshill,VI,Virgin Islands,78010,St. Croix
851,Kingshill,VI,Virgin Islands,78010,St. Croix
901,San Juan,PR,Puerto Rico,72127,San Juan
906,San Juan,PR,Puerto Rico,72127,San Juan
907,San Juan,PR,Puerto Rico,72127,San Juan
909,San Juan,PR,Puerto Rico,72127,San Juan
911,San Juan,PR,Puerto Rico,72127,San Juan
912,San Juan,PR,Puerto Rico,72127,San Juan
913,San Juan,PR,Puerto Rico,72127,San Juan
915,San Juan,PR,Puerto Rico,72127,San Juan
