name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
Kolkata@99,Bidhannagar,1000+ ratings,46,Govinda Bhavan;2nd floor; near IAM,Salt Lake,['Indian'],₹200 FOR TWO,,,
Oudh 1590 Salt Lake,Bidhannagar,1000+ ratings,36,Plot 86; Block CD; Sector 1; Salt Lake ; Kolkata India,Sector 1,['Biryani' 'Mughlai' 'North Indian' 'Awadhi' 'Kebabs' 'Lucknowi'],₹1000 FOR TWO,,,
China Green,Bidhannagar,1000+ ratings,45,Naya Patty; Sector V; Kolkata-700102,Near NAvina Cinemas,['Chinese' 'Asian' 'Oriental' 'Thai' 'Pan-Asian'],₹300 FOR TWO,,,
Agarwal's Kitchen,Bidhannagar,1000+ ratings,39,AL-5; Sector II; Salt Lake; Kolkata-700091,Salt Lake,['Combo' 'Thalis' 'North Indian' 'Desserts' 'Beverages'],₹250 FOR TWO,,,
Mio Amore - The Cake Shop,Bidhannagar,100+ ratings,39,BE 6; Sector 1; Salt Lake,Near Khanna Institute of Motor Driving,['Desserts' 'Bakery' 'Snacks'],₹150 FOR TWO,,,
Biryani By Kilo,Bidhannagar,1000+ ratings,67,Ground Floor Dn 11; Sector V Salt Lake City; Bidhannagar,Sector V Salt Lake,['Biryani' 'Hyderabadi' 'Lucknowi' 'Mughlai' 'North Indian'],₹700 FOR TWO,,,
Dhabawale,Bidhannagar,100+ ratings,42,CG-145; SECTOR-2; SALT LAKE; KOLKATA-700091,Salt Lake,['Indian' 'Tandoor' 'Thalis'],₹300 FOR TWO,,,
Banana Leaf,Salt Lake,1000+ ratings,39,CG - 145; Sector - II; Salt Lake City; Kolkata - 700091,Salt Lake,['South Indian'],₹200 FOR TWO,,,
The Bhoj Company,Bidhannagar,100+ ratings,49,RETAIL SPACE NO.1; GR. FLOOR; TOWER-II; PS SRIJAN CARPORATE PARK; SALT LAKE; SEC-V; KOLKATA,Salt Lake,['Bengali' 'Chinese'],₹300 FOR TWO,,,
Apna Dhaba,Bidhannagar,100+ ratings,39,CG-145; SECTOR-2; SALT LAKE; KOLKATA-700091,Salt Lake,['Beverages' 'North Indian' 'Punjabi' 'Desserts' 'Tandoor'],₹300 FOR TWO,,,
Azad Hind Dhaba,Near North Bidhannagar Police Station,100+ ratings,40,CF 162; Near Bikash Bhawan; Sector 1; Salt Lake; Kolkata-700064,Near North Bidhannagar Police Station,['North Indian'],₹500 FOR TWO,,,
Subway,Bidhannagar,500+ ratings,50,Bengal Intelligent Park; Sector 5; Salt Lake,Near Infinity Building,['Healthy Food' 'Salads' 'Snacks' 'Desserts' 'Beverages'],₹350 FOR TWO,,,
Pithe Bilashi,Salt Lake,100+ ratings,42,CF-365; Sector-1; Salt Lake; Kolkata-700064,Sector-1,['Bengali'],₹300 FOR TWO,,,
Fryman Salt lake,Salt Lake,20+ ratings,42,Araksha Bhavan ; police canteen; DJ Block; salt lake; sector 2; 700091,Salt Lake,['Chinese' 'South Indian'],₹350 FOR TWO,,,
Cakes,Salt Late,100+ ratings,35,FC 120;Anindita More;Near Tank 13;Sector 3;Salt Lake,Salt Lake,['Bakery' 'Desserts'],₹200 FOR TWO,,,
Wow! China,Bidhannagar,500+ ratings,53,DC Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064,Bidhannagar,['Tibetan' 'Chinese' 'Asian' 'Snacks' 'Continental' 'Desserts' 'Beverages'],₹400 FOR TWO,,,
Friday Release - Chinese & North Indian,Salt Lake,20+ ratings,48,DD-24A; DD Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['North Indian' 'Biryani' 'Mughlai' 'Kebabs' 'Chinese' 'Snacks' 'Desserts'],₹300 FOR TWO,,,
Hatari,Bidhannagar,100+ ratings,55,CF-149;SECTOR-1;SALT LAKE CITY;(P.S. BIDHAN NAGAR NORTH) KOLKATA-700064; District - North Twenty Four Parganas; STATE - West Bengal,Salt Lake,['Chinese' 'Indian'],₹500 FOR TWO,,,
